classificação;PG;J;V;E;D;GC;GP;SG;%;Time;Abreviacao
1° PalmeirasPAL;55;25;17;4;4;21;42;21;73;1° Palmeiras;PAL
2° FlamengoFLA;55;26;16;7;3;13;50;37;71;2° Flamengo;FLA
3° CruzeiroCRU;52;27;15;7;5;20;40;20;64;3° Cruzeiro;CRU
4° BotafogoBOT;43;27;12;7;8;23;37;14;53;4° Botafogo;BOT
5° BahiaBAH;43;26;12;7;7;30;34;4;55;5° Bahia;BAH
6° MirassolMIR;43;26;11;10;5;28;42;14;55;6° Mirassol;MIR
7° FluminenseFLU;38;25;11;5;9;31;33;2;51;7° Fluminense;FLU
8° São PauloSPA;38;27;10;8;9;28;31;3;47;8° São Paulo;SPA
9° Red Bull BragantinoBRG;36;27;10;6;11;38;33;-5;44;9° Red Bull Bragantino;BRG
10° CearáCEA;34;26;9;7;10;24;26;2;44;10° Ceará;CEA
11° VascoVAS;33;27;9;6;12;41;42;1;41;11° Vasco;VAS
12° CorinthiansCOR;33;27;8;9;10;32;29;-3;41;12° Corinthians;COR
13° GrêmioGRE;33;27;8;9;10;33;28;-5;41;13° Grêmio;GRE
14° InternacionalINT;32;26;8;8;10;38;32;-6;41;14° Internacional;INT
15° Atlético-MGCAM;29;25;7;8;10;29;22;-7;39;15° Atlético-MG;CAM
16° SantosSAN;28;26;7;7;12;38;25;-13;36;16° Santos;SAN
17° VitóriaVIT;25;27;5;10;12;42;24;-18;31;17° Vitória;VIT
18° FortalezaFOR;24;26;6;6;14;41;26;-15;31;18° Fortaleza;FOR
19° JuventudeJUV;23;26;6;5;15;48;21;-27;29;19° Juventude;JUV
20° SportSPT;16;25;2;10;13;38;19;-19;21;20° Sport;SPT
